DataGroup,HoursAfterSurgery,Concentration
Anti-Inflammatory A1,24,50
Anti-Inflammatory A2,24,59
Anti-Inflammatory A3,24,52
Anti-Inflammatory A1,72,71
Anti-Inflammatory A2,72,105
Anti-Inflammatory A3,72,97
Anti-Inflammatory B1,24,30
Anti-Inflammatory B2,24,27
Anti-Inflammatory B3,24,40
Anti-Inflammatory B1,72,87
Anti-Inflammatory B2,72,26
Anti-Inflammatory B3,72,33
Pro-Inflammatory 1,24,47
Pro-Inflammatory 2,24,56
Pro-Inflammatory 3,24,67
Pro-Inflammatory 1,72,15
Pro-Inflammatory 2,72,15
Pro-Inflammatory 3,72,35
